klc_id |is_tfca|is_chs|{significance}
SAF_01|1|0|{"Unique Okavango delta wetlands", "Wildlife migrations", "Large elephant population", "Other large mammals", "Peace Park"}
SAF_02|1|0|{"Riverine woodlands", "Regional endemism"}
SAF_03|1|0|{"Unique Kalahari", "Gemsbokm etc."}
SAF_04|1|0|{"Zambezi River", "Floodplain", "Escarpment", "Large mammal populations"}
SAF_05|1|0|{"Southern mountains", "Escarpments", "Rich endemic flora", "Wetlands", "San culture"}
SAF_06|1|0|{"Fish River canyon"}
SAF_07|1|0|{"High biodiversity", "5 Ramsar sites", "Wetlands, woodlands"}
SAF_08|1|0|{"Forest, scenery, wildlife and culture"}
SAF_09_10|1|0|{"Montane grassland and flora", "Wetlands", "Restocking programme", "Luangwa River and floodplain", "Woodlands, escarpment", "Large mammal populations (elephant, hippo, buffalo,able and wild dog). Will become increasingly important for elephant with climate change"}
SAF_11|1|0|{"South-western part of Congo Basin rainforest", "Chimpanzees and lowland gorillas"}
SAF_13|0|0|{"Unique salt pans, waterholes", "black rhino, elephant, springbok, gemsbok, etc."}
SAF_14_15|0|1|{"Luangwa River and floodplain", "Vast wetlands (lakes, floodplains, swamps)", "Woodlands, escarpment", "Large mammal populations", "Black lechwe", "Shoebills", "Important fisheries for local communities"} 
SAF_16|0|0|{"Endemic fish fauna"}
SAF_17|0|0|{"Bushland and grassland over Kalahari Sands", "Large mammal populations", "Traditional home of Bushmen, or San"}
SAF_18|0|0|{"Cape mountain zebra (endangered)", "Other large mammals"}
SAF_19|0|0|{"Last refuge of Giant Sable", "Other large mammals of Miombo woodlands"}
SAF_20|0|0|{"Cape Floral Region is one of the world’s 18 biodiversity hotspots", "69 % of the estimated 9 000 plant species in the region are endemic", "1 435 species identified as threatened"}
SAF_21|0|1|{"Lemurs and other endemic fauna and flora", "World Heritage"} 
EAF_01|0|0|{"Major plains game migration", "Large carnivores", "Elephant, rhino", "Unique crater"}
EAF_01_wLoliondo|0|0|{"Major plains game migration", "Large carnivores", "Elephant, rhino", "Unique crater"}
EAF_02|0|0|{"Serial World Heritage Site", "Flamingos, water birds", "Rhino"}
EAF_03|0|0|{"Glaciated mountain", "Montane endemics", "Carnivores", "Very important elephant area, rhinos"}
EAF_04|1|1|{"Wide variety of wildlife habitats", "Large mammal populations important for elephant, hippo, buffalo, sable and wild dog", "Migration corridor with village wildlife management areas", "possibly rhino"}
EAF_05|0|0|{"Montane endemics, gelada baboon, wolf, ibex"}
EAF_06|0|0|{"World Heritage Site", "Fossil sites", "Desert species"}
EAF_07|0|0|{"Glaciated mountain", "Alpine flora", "Forests to arid savannah", "Very important elephant area, rhino, Grevy’s zebra and other game"}
EAF_08|0|0|{"Major plains game migration"}
EAF_09|0|0|{"Alpine flora, montane endemics"}
EAF_10|0|0|{"Endemics", "Primates"}
EAF_11|0|0|{"Very important elephant area and other game", "Forest, montane grassland and endemics"} 
EAF_12|0|0|{"Very important elephant area and other game", "Malagarasi river and extensive swamps, lakes"}
