system:index,KLC_ID,PA,Year,bare-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
0,SAF_02,false,2015.0,604.2532260735138,2335.198563113646,27225.540718939235,0.0,32707.92929283529,0.0,20431.132625960076,51.21293054864249,75.77730327321999,132.0196761549612,
1,SAF_02,false,2016.0,455.8075230405475,2493.3364494686557,27826.812925406473,0.0,32368.75664269583,0.0,20169.041272656745,53.883980973854094,63.40586650155268,149.45368408593788,
2,SAF_02,false,2017.0,534.1557958527459,3727.941789862135,30203.983219906895,0.0,27363.874905089677,0.0,21466.533090617213,53.860853522825636,80.69500589216733,277.39865051644847,
3,SAF_02,false,2018.0,359.22046400818635,3280.206868582376,25876.983757762337,0.0,30183.101475047835,0.0,23600.63766608287,54.08228009681106,76.81214916324993,175.1999864095074,
4,SAF_02,false,2019.0,387.23687434487874,6450.809243061021,24288.93372308445,0.0,30858.714697251446,0.0,21326.607947634988,52.01163808181386,66.73053728503191,145.67518543500483,
5,SAF_02,true,2015.0,515.3210626543033,1879.2775235678862,19876.713654678755,0.0,22496.909771866718,0.0,13217.001616178686,28.539247486029364,68.19021023357996,92.98955167624858,
6,SAF_02,true,2016.0,393.6655221335363,1979.5371532403462,20493.591354749697,0.0,22221.34760688102,0.0,12906.256695248729,30.041526654050294,57.5132277586077,110.04266991712254,
7,SAF_02,true,2017.0,465.5395001308182,2690.656576645889,22287.03312407026,0.0,19022.00851983247,0.0,13513.48613982175,30.27665213601194,72.95257402877877,202.70749628936267,
8,SAF_02,true,2018.0,309.0029427791204,2548.904023342534,19094.692925549356,0.0,20988.42441318523,0.0,15040.754714315106,30.392478273342697,69.78158922130079,115.4016907319419,
9,SAF_02,true,2019.0,313.01575970414996,5333.528954051195,17712.504908272153,0.0,21116.13570746583,0.0,13517.5500657958,29.122178672262446,60.09551270458085,99.77914589617997,
10,SAF_01,false,2015.0,6998.8254261487255,13391.681686010628,196372.64500222297,1.3840283323734184,184105.1115146121,0.0,111460.3680781774,624.5840748566379,3448.7679848667212,4095.254749757896,
11,SAF_01,false,2016.0,7547.082877512803,15079.216324726038,196864.0581510099,0.12987505403725663,177606.12871016492,0.0,115446.56698853697,638.674801892942,3218.2791710946594,5937.227033460244,
12,SAF_01,false,2017.0,8732.735170213378,19622.966319333784,195124.93684664223,1.7213094156322768,167949.25584348326,0.0,120672.69136457311,647.0416080870375,3652.2629456557606,7713.461237458075,
13,SAF_01,false,2018.0,7575.892259752398,18195.968851142516,196754.19082309562,1.7671527620841516,165897.966872334,0.0,123696.16020774642,647.0124220675839,3634.107667905342,7570.741375369229,
14,SAF_01,false,2019.0,9124.579225669886,23192.79883097265,194593.83472632506,1.840991784883954,164092.9553079022,0.0,121573.19598551618,646.5821775737546,3177.9106643001332,3660.8418651085512,
