area_km2,klc_id,klc_name,year,pa,area_loss
83454.2730907719,SAF_02,Great Limpopo,2001,total,0.02413259942626953
83454.2730907719,SAF_02,Great Limpopo,2001,inside,8.302470703125e-4
83454.2730907719,SAF_02,Great Limpopo,2001,outside,0.02330235235595703
83454.2730907719,SAF_02,Great Limpopo,2002,total,0.004140480590820312
83454.2730907719,SAF_02,Great Limpopo,2002,inside,8.090686645507813e-4
83454.2730907719,SAF_02,Great Limpopo,2002,outside,0.003331411926269531
83454.2730907719,SAF_02,Great Limpopo,2003,total,0.026513449584960935
83454.2730907719,SAF_02,Great Limpopo,2003,inside,0.007386427612304687
83454.2730907719,SAF_02,Great Limpopo,2003,outside,0.019127021972656248
83454.2730907719,SAF_02,Great Limpopo,2004,total,0.048536478759765626
83454.2730907719,SAF_02,Great Limpopo,2004,inside,0.031058118568570006
83454.2730907719,SAF_02,Great Limpopo,2004,outside,0.01747836019119562
83454.2730907719,SAF_02,Great Limpopo,2005,total,0.04249110906982422
83454.2730907719,SAF_02,Great Limpopo,2005,inside,0.018330017517089844
83454.2730907719,SAF_02,Great Limpopo,2005,outside,0.024161091552734378
83454.2730907719,SAF_02,Great Limpopo,2006,total,0.45723580615234377
83454.2730907719,SAF_02,Great Limpopo,2006,inside,0.13614512493489583
83454.2730907719,SAF_02,Great Limpopo,2006,outside,0.32109068121744794
83454.2730907719,SAF_02,Great Limpopo,2007,total,0.18785326671908514
83454.2730907719,SAF_02,Great Limpopo,2007,inside,0.11646592760679955
83454.2730907719,SAF_02,Great Limpopo,2007,outside,0.07138733911228559
83454.2730907719,SAF_02,Great Limpopo,2008,total,0.46594742262920297
83454.2730907719,SAF_02,Great Limpopo,2008,inside,0.09003674104171455
83454.2730907719,SAF_02,Great Limpopo,2008,outside,0.3759106815874884
83454.2730907719,SAF_02,Great Limpopo,2009,total,0.9550308779562563
83454.2730907719,SAF_02,Great Limpopo,2009,inside,0.2572024183289771
83454.2730907719,SAF_02,Great Limpopo,2009,outside,0.6978284596272792
83454.2730907719,SAF_02,Great Limpopo,2010,total,0.4589189371706495
83454.2730907719,SAF_02,Great Limpopo,2010,inside,0.18672252237357345
83454.2730907719,SAF_02,Great Limpopo,2010,outside,0.27219641479707607
83454.2730907719,SAF_02,Great Limpopo,2011,total,0.7829133212280273
83454.2730907719,SAF_02,Great Limpopo,2011,inside,0.2519404867209042
83454.2730907719,SAF_02,Great Limpopo,2011,outside,0.5309728345071231
83454.2730907719,SAF_02,Great Limpopo,2012,total,0.2274897860107422
83454.2730907719,SAF_02,Great Limpopo,2012,inside,0.054805764400945915
83454.2730907719,SAF_02,Great Limpopo,2012,outside,0.1726840216097963
83454.2730907719,SAF_02,Great Limpopo,2013,total,0.38931297680664073
83454.2730907719,SAF_02,Great Limpopo,2013,inside,0.21963741204833986
83454.2730907719,SAF_02,Great Limpopo,2013,outside,0.16967556475830087
83454.2730907719,SAF_02,Great Limpopo,2014,total,0.3160530195922852
83454.2730907719,SAF_02,Great Limpopo,2014,inside,0.1062892540893555
83454.2730907719,SAF_02,Great Limpopo,2014,outside,0.20976376550292972
83454.2730907719,SAF_02,Great Limpopo,2015,total,0.08642624249267579
83454.2730907719,SAF_02,Great Limpopo,2015,inside,0.03397363405019723
83454.2730907719,SAF_02,Great Limpopo,2015,outside,0.05245260844247856
83454.2730907719,SAF_02,Great Limpopo,2016,total,0.3184409118264592
83454.2730907719,SAF_02,Great Limpopo,2016,inside,0.07757736482077204
83454.2730907719,SAF_02,Great Limpopo,2016,outside,0.24086354700568718
83454.2730907719,SAF_02,Great Limpopo,2017,total,1.4108310678787535
83454.2730907719,SAF_02,Great Limpopo,2017,inside,0.3983351629107306
83454.2730907719,SAF_02,Great Limpopo,2017,outside,1.0124959049680229
